gid,초등학교수,중학교수,고등학교수,어린이보호구역수,교차로,보행자작동신호기,횡단보도,음향신호기,안전표지,신호등,잔여시간표시기,도로면적,총인구수,단란주점,유흥주점,일반음식점,교통사고수,geometry,gu
다사62b49b,0,0,0,1,3.0,10.0,30.0,0.0,88.0,47.0,8.0,23639.72206869662,929.0,0,0,0,11,"POLYGON ((962500 1949500, 962500 1950000, 963000 1950000, 963000 1949500, 962500 1949500))",광진구
다사63a48b,0,0,0,0,3.0,8.0,112.0,29.0,261.0,69.0,17.0,58847.20079558873,6510.0,0,0,0,28,"POLYGON ((963000 1948500, 963000 1949000, 963500 1949000, 963500 1948500, 963000 1948500))",광진구
다사65a50a,0,0,0,0,0.0,0.0,35.0,4.0,62.0,42.0,2.0,17759.98178105943,2753.0,0,0,0,2,"POLYGON ((965000 1950000, 965000 1950500, 965500 1950500, 965500 1950000, 965000 1950000))",광진구
다사63a52b,1,1,0,2,0.0,0.0,138.0,2.0,369.0,99.0,6.0,63449.70704026018,275.0,0,0,0,21,"POLYGON ((963000 1952500, 963000 1953000, 963500 1953000, 963500 1952500, 963000 1952500))",광진구 중랑구
다사63b51a,0,0,0,1,0.0,0.0,57.0,7.0,322.0,85.0,16.0,59690.69395470453,7478.0,0,0,0,19,"POLYGON ((963500 1951000, 963500 1951500, 964000 1951500, 964000 1951000, 963500 1951000))",광진구
다사62a48b,1,1,2,2,0.0,0.0,51.0,10.0,149.0,40.0,6.0,40069.85360877176,10175.0,0,0,0,17,"POLYGON ((962000 1948500, 962000 1949000, 962500 1949000, 962500 1948500, 962000 1948500))",광진구
다사63b50b,0,0,0,0,0.0,0.0,63.0,20.0,350.0,82.0,16.0,66943.73731810774,8914.0,0,0,0,25,"POLYGON ((963500 1950500, 963500 1951000, 964000 1951000, 964000 1950500, 963500 1950500))",광진구
다사62b51a,0,0,0,0,5.0,4.0,88.0,13.0,631.0,91.0,20.0,68778.1394837893,8544.0,0,0,0,22,"POLYGON ((962500 1951000, 962500 1951500, 963000 1951500, 963000 1951000, 962500 1951000))",광진구
다사64a49a,0,0,0,2,7.0,2.0,112.0,8.0,263.0,81.0,19.0,59952.84844758704,9748.0,0,0,0,17,"POLYGON ((964000 1949000, 964000 1949500, 964500 1949500, 964500 1949000, 964000 1949000))",광진구
다사62a50b,0,0,0,2,6.0,4.0,70.0,7.0,245.0,30.0,8.0,65118.28622189276,6382.0,0,0,0,21,"POLYGON ((962000 1950500, 962000 1951000, 962500 1951000, 962500 1950500, 962000 1950500))",광진구 성동구
다사63a50b,0,0,0,2,0.0,0.0,92.0,19.0,512.0,35.0,13.0,69719.9054036472,8354.0,0,0,0,10,"POLYGON ((963000 1950500, 963000 1951000, 963500 1951000, 963500 1950500, 963000 1950500))",광진구
다사64a50b,0,0,0,2,4.0,4.0,59.0,28.0,153.0,70.0,10.0,43710.342486278685,8518.0,0,0,0,11,"POLYGON ((964000 1950500, 964000 1951000, 964500 1951000, 964500 1950500, 964000 1950500))",광진구
다사61b48a,0,0,0,1,8.0,2.0,93.0,4.0,289.0,72.0,6.0,71466.16321815962,7639.0,0,0,0,20,"POLYGON ((961500 1948000, 961500 1948500, 962000 1948500, 962000 1948000, 961500 1948000))",광진구
다사64a49b,0,0,0,0,0.0,0.0,14.0,0.0,71.0,17.0,0.0,19529.240313402297,511.0,0,0,0,3,"POLYGON ((964000 1949500, 964000 1950000, 964500 1950000, 964500 1949500, 964000 1949500))",광진구
다사64b48b,0,0,0,1,0.0,0.0,15.0,0.0,77.0,35.0,9.0,52344.14218298247,3111.0,0,0,0,11,"POLYGON ((964500 1948500, 964500 1949000, 965000 1949000, 965000 1948500, 964500 1948500))",광진구 송파구
다사63a50a,0,0,0,1,0.0,0.0,0.0,0.0,29.0,0.0,0.0,14474.457061359071,2167.0,0,0,0,2,"POLYGON ((963000 1950000, 963000 1950500, 963500 1950500, 963500 1950000, 963000 1950000))",광진구
다사62a48a,1,0,0,3,0.0,0.0,83.0,12.0,309.0,70.0,14.0,52847.95944185163,11348.0,0,0,0,5,"POLYGON ((962000 1948000, 962000 1948500, 962500 1948500, 962500 1948000, 962000 1948000))",광진구
다사62b50a,0,0,0,0,1.0,6.0,12.0,0.0,61.0,15.0,3.0,26642.0052343954,1773.0,0,0,0,7,"POLYGON ((962500 1950000, 962500 1950500, 963000 1950500, 963000 1950000, 962500 1950000))",광진구
다사61b50a,0,0,0,1,0.0,0.0,46.0,9.0,148.0,28.0,7.0,70285.94364370435,1519.0,0,0,0,14,"POLYGON ((961500 1950000, 961500 1950500, 962000 1950500, 962000 1950000, 961500 1950000))",광진구 성동구
다사63b48a,2,1,0,4,0.0,0.0,91.0,15.0,212.0,61.0,8.0,44904.81583688747,4675.0,0,0,0,3,"POLYGON ((963500 1948000, 963500 1948500, 964000 1948500, 964000 1948000, 963500 1948000))",광진구
다사62a49b,1,0,0,1,0.0,0.0,93.0,0.0,277.0,82.0,27.0,66144.01816200603,7375.0,0,0,0,30,"POLYGON ((962000 1949500, 962000 1950000, 962500 1950000, 962500 1949500, 962000 1949500))",광진구
다사64a48a,0,0,0,0,0.0,0.0,16.0,4.0,99.0,26.0,3.0,51124.724041541056,447.0,0,0,0,16,"POLYGON ((964000 1948000, 964000 1948500, 964500 1948500, 964500 1948000, 964000 1948000))",광진구 송파구
